[2025-07-22 22:13:45] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=54886 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=54886
[2025-07-22 22:13:45] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=56838 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=56838
[2025-07-22 22:13:45] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=36990 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=36990
[2025-07-22 22:13:46] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=39524 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=39524
[2025-07-22 22:13:46] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=52.34.185.41 sport=40110 dport=443 [UNREPLIED] src=52.34.185.41 dst=192.168.10.111 sport=443 dport=40110
[2025-07-22 22:13:49] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=44716 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=44716
[2025-07-22 22:13:49] [NEW] udp      17 30 src=192.168.10.111 dst=142.250.203.100 sport=43452 dport=443 [UNREPLIED] src=142.250.203.100 dst=192.168.10.111 sport=443 dport=43452
[2025-07-22 22:13:49] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=142.250.203.100 sport=41104 dport=443 [UNREPLIED] src=142.250.203.100 dst=192.168.10.111 sport=443 dport=41104
[2025-07-22 22:13:49] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=40477 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=40477
[2025-07-22 22:13:49] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=142.250.203.99 sport=59702 dport=80 [UNREPLIED] src=142.250.203.99 dst=192.168.10.111 sport=80 dport=59702
[2025-07-22 22:13:52] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=35086 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=35086
[2025-07-22 22:13:52] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=172.64.155.66 sport=32834 dport=443 [UNREPLIED] src=172.64.155.66 dst=192.168.10.111 sport=443 dport=32834
[2025-07-22 22:13:52] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=54174 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=54174
[2025-07-22 22:13:52] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=142.250.203.100 sport=41114 dport=443 [UNREPLIED] src=142.250.203.100 dst=192.168.10.111 sport=443 dport=41114
[2025-07-22 22:13:53] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=44033 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=44033
[2025-07-22 22:13:53] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=59855 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=59855
[2025-07-22 22:13:53] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=142.250.203.97 sport=52180 dport=443 [UNREPLIED] src=142.250.203.97 dst=192.168.10.111 sport=443 dport=52180
[2025-07-22 22:13:53] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=142.250.203.97 sport=52182 dport=443 [UNREPLIED] src=142.250.203.97 dst=192.168.10.111 sport=443 dport=52182
[2025-07-22 22:13:53] [NEW] udp      17 30 src=192.168.10.111 dst=142.250.203.110 sport=55080 dport=443 [UNREPLIED] src=142.250.203.110 dst=192.168.10.111 sport=443 dport=55080
[2025-07-22 22:13:53] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=142.250.203.110 sport=53102 dport=443 [UNREPLIED] src=142.250.203.110 dst=192.168.10.111 sport=443 dport=53102
[2025-07-22 22:13:53] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=142.250.203.110 sport=53118 dport=443 [UNREPLIED] src=142.250.203.110 dst=192.168.10.111 sport=443 dport=53118
[2025-07-22 22:13:53] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=142.250.203.99 sport=59710 dport=80 [UNREPLIED] src=142.250.203.99 dst=192.168.10.111 sport=80 dport=59710
[2025-07-22 22:13:53] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=142.250.203.99 sport=59720 dport=80 [UNREPLIED] src=142.250.203.99 dst=192.168.10.111 sport=80 dport=59720
[2025-07-22 22:13:53] [NEW] udp      17 30 src=192.168.10.111 dst=142.250.203.97 sport=47671 dport=443 [UNREPLIED] src=142.250.203.97 dst=192.168.10.111 sport=443 dport=47671
[2025-07-22 22:14:01] [NEW] udp      17 30 src=192.168.10.111 dst=142.250.203.100 sport=35445 dport=443 [UNREPLIED] src=142.250.203.100 dst=192.168.10.111 sport=443 dport=35445
[2025-07-22 22:14:01] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=53793 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=53793
[2025-07-22 22:14:01] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=59885 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=59885
[2025-07-22 22:14:02] [NEW] udp      17 30 src=192.168.10.111 dst=142.250.203.99 sport=40190 dport=443 [UNREPLIED] src=142.250.203.99 dst=192.168.10.111 sport=443 dport=40190
[2025-07-22 22:14:02] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=55422 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=55422
[2025-07-22 22:14:02] [NEW] udp      17 30 src=192.168.10.111 dst=142.250.178.226 sport=57210 dport=443 [UNREPLIED] src=142.250.178.226 dst=192.168.10.111 sport=443 dport=57210
